date,exchange_rate
2013-01-01,1.3194
2013-01-02,1.3262
2013-01-03,1.3102
2013-01-04,1.3012
2013-01-07,1.3039
2013-01-08,1.3086
2013-01-09,1.3056
2013-01-10,1.3113
2013-01-11,1.3274
2013-01-14,1.3341
2013-01-15,1.3327
2013-01-16,1.3277
2013-01-17,1.3368
2013-01-18,1.3324
2013-01-21,1.3323
2013-01-22,1.3317
2013-01-23,1.333
2013-01-24,1.3349
2013-01-25,1.3469
2013-01-28,1.3444
2013-01-29,1.3433
2013-01-30,1.3541
2013-01-31,1.355
2013-02-01,1.3644
2013-02-04,1.3552
2013-02-05,1.3537
2013-02-06,1.3517
2013-02-07,1.3546
2013-02-08,1.3374
2013-02-11,1.3391
2013-02-12,1.3438
2013-02-13,1.348
2013-02-14,1.3327
2013-02-15,1.3325
2013-02-18,1.3352
2013-02-19,1.3349
2013-02-20,1.337
2013-02-21,1.3186
2013-02-22,1.3186
2013-02-25,1.3304
2013-02-26,1.3077
2013-02-27,1.3097
2013-02-28,1.3129
2013-03-01,1.3
2013-03-04,1.3007
2013-03-05,1.3034
2013-03-06,1.3035
2013-03-07,1.301
2013-03-08,1.309
2013-03-11,1.2994
2013-03-12,1.3053
2013-03-13,1.2981
2013-03-14,1.2937
2013-03-15,1.3086
2013-03-18,1.2929
2013-03-19,1.2944
2013-03-20,1.2945
2013-03-21,1.291
2013-03-22,1.2948
2013-03-25,1.2935
2013-03-26,1.2861
2013-03-27,1.2768
2013-03-28,1.2805
2013-03-29,1.2805
2013-04-01,1.2805
2013-04-02,1.284
2013-04-03,1.2828
2013-04-04,1.2818
2013-04-05,1.2944
2013-04-08,1.3023
2013-04-09,1.304
2013-04-10,1.3086
2013-04-11,1.3119
2013-04-12,1.3052
2013-04-15,1.3081
2013-04-16,1.3129
2013-04-17,1.3129
2013-04-18,1.3045
2013-04-19,1.3115
2013-04-22,1.3037
2013-04-23,1.299
2013-04-24,1.3006
2013-04-25,1.308
2013-04-26,1.2999
2013-04-29,1.3113
2013-04-30,1.3072
2013-05-01,1.3072
2013-05-02,1.3191
2013-05-03,1.3114
2013-05-06,1.3107
2013-05-07,1.3107
2013-05-08,1.3135
2013-05-09,1.3142
2013-05-10,1.2988
2013-05-13,1.2973
2013-05-14,1.2977
2013-05-15,1.2864
2013-05-16,1.289
2013-05-17,1.2869
2013-05-20,1.2853
2013-05-21,1.2866
2013-05-22,1.2923
2013-05-23,1.2888
2013-05-24,1.2939
2013-05-27,1.2939
2013-05-28,1.2938
2013-05-29,1.2952
2013-05-30,1.2944
2013-05-31,1.3006
2013-06-03,1.3008
2013-06-04,1.3092
2013-06-05,1.3067
2013-06-06,1.3118
2013-06-07,1.326
2013-06-10,1.3209
2013-06-11,1.3273
2013-06-12,1.3277
2013-06-13,1.3315
2013-06-14,1.3303
2013-06-17,1.3337
2013-06-18,1.3374
2013-06-19,1.3406
2013-06-20,1.32
2013-06-21,1.318
2013-06-24,1.3086
2013-06-25,1.3134
2013-06-26,1.3024
2013-06-27,1.3032
2013-06-28,1.308
2013-07-01,1.3037
2013-07-02,1.3017
2013-07-03,1.2959
2013-07-04,1.2984
2013-07-05,1.2883
2013-07-08,1.285
2013-07-09,1.2857
2013-07-10,1.2813
2013-07-11,1.3044
2013-07-12,1.3034
2013-07-15,1.3012
2013-07-16,1.3118
2013-07-17,1.3136
2013-07-18,1.3093
2013-07-19,1.3123
2013-07-22,1.3166
2013-07-23,1.318
2013-07-24,1.3246
2013-07-25,1.3202
2013-07-26,1.326
2013-07-29,1.327
2013-07-30,1.3284
2013-07-31,1.3275
2013-08-01,1.3236
2013-08-02,1.3203
2013-08-05,1.3257
2013-08-06,1.328
2013-08-07,1.3305
2013-08-08,1.336
2013-08-09,1.3373
2013-08-12,1.328
2013-08-13,1.329
2013-08-14,1.3243
2013-08-15,1.3297
2013-08-16,1.334
2013-08-19,1.3344
2013-08-20,1.3392
2013-08-21,1.3384
2013-08-22,1.3323
2013-08-23,1.3355
2013-08-26,1.3361
2013-08-27,1.3338
2013-08-28,1.3347
2013-08-29,1.3266
2013-08-30,1.3235
2013-09-02,1.3207
2013-09-03,1.3172
2013-09-04,1.3171
2013-09-05,1.3202
2013-09-06,1.3117
2013-09-09,1.3194
2013-09-10,1.324
2013-09-11,1.3268
2013-09-12,1.329
2013-09-13,1.3295
2013-09-16,1.3357
2013-09-17,1.3356
2013-09-18,1.3352
2013-09-19,1.3545
2013-09-20,1.3514
2013-09-23,1.3508
2013-09-24,1.3473
2013-09-25,1.3504
2013-09-26,1.3499
2013-09-27,1.3537
2013-09-30,1.3505
2013-10-01,1.3554
2013-10-02,1.3515
2013-10-03,1.3594
2013-10-04,1.3593
2013-10-07,1.3572
2013-10-08,1.3576
2013-10-09,1.3515
2013-10-10,1.3532
2013-10-11,1.3566
2013-10-14,1.3564
2013-10-15,1.3493
2013-10-16,1.3561
2013-10-17,1.3662
2013-10-18,1.3684
2013-10-21,1.3667
2013-10-22,1.3674
2013-10-23,1.3752
2013-10-24,1.3805
2013-10-25,1.3777
2013-10-28,1.3784
2013-10-29,1.3768
2013-10-30,1.3755
2013-10-31,1.3641
2013-11-01,1.3505
2013-11-04,1.3506
2013-11-05,1.3494
2013-11-06,1.3517
2013-11-07,1.3365
2013-11-08,1.3431
2013-11-11,1.3394
2013-11-12,1.3432
2013-11-13,1.3415
2013-11-14,1.3436
2013-11-15,1.346
2013-11-18,1.3517
2013-11-19,1.3502
2013-11-20,1.3527
2013-11-21,1.3472
2013-11-22,1.3518
2013-11-25,1.3514
2013-11-26,1.3547
2013-11-27,1.3596
2013-11-28,1.3592
2013-11-29,1.3611
2013-12-02,1.3536
2013-12-03,1.3578
2013-12-04,1.3592
2013-12-05,1.3594
2013-12-06,1.3661
2013-12-09,1.3722
2013-12-10,1.375
2013-12-11,1.3767
2013-12-12,1.3775
2013-12-13,1.3727
2013-12-16,1.3776
2013-12-17,1.3749
2013-12-18,1.3749
2013-12-19,1.3667
2013-12-20,1.3655
2013-12-23,1.3702
2013-12-24,1.3684
2013-12-25,1.3684
2013-12-26,1.3684
2013-12-27,1.3814
2013-12-30,1.3783
2013-12-31,1.3791
